Category,Difficulty,Question,Expected Answer,LLM Answer
Tuition,Easy,Where can I find current tuition rates?,iit.edu/student-accounting/tuition-and-fees/future-tuition-and-fees/mies-campus-graduate and mies-campus-undergraduate.,I'm not sure based on my available information.
Tuition,Normal,What happens to my tuition if I drop a class after the add/drop deadline?,No tuition refund; you owe full tuition and receive a W grade on your transcript.,You are not sure.
Tuition,Normal,Do I get a refund if I drop a course before the add/drop deadline?,"Yes, 100% refundable before the add/drop deadline; submit a Refund Request Form, takes 7-10 business days.","Yes, if you drop a course during the first two weeks of the semester, you will not appear on a student's transcript and tuition will be refunded."
Tuition,Normal,How is tuition calculated for part-time students?,"Part-time undergraduates (under 12 credits) are charged $1,612 per credit hour instead of the flat rate.",I'm not sure based on my available information.
Tuition,Hard,"If I drop from 12 credits to 9 credits mid-semester, how does that affect my tuition?",No refund after add/drop deadline; dropping below 12 credits means you are no longer full-time.,I'm not sure based on my available information.
Tuition,Hard,"If I withdraw from all classes after the fourth week, do I receive a tuition refund?","No refund after the add/drop deadline; W grades appear on transcript; exceptions for military service, serious illness, or university action.","No, you will not receive a tuition refund."
Tuition,Hard,"If I drop a course but remain full-time, does my tuition change?",If you stay within 12-18 credits the flat rate does not change; dropping below 12 shifts to per-credit billing but no refund after add/drop.,"No, your tuition will not change if you drop a course but remain full-time."
Tuition,Hard,I'm starting the MDes program. What will I pay per semester?,Tuition rates for the MDes program.,"You will pay $25,488 per semester."
Tuition,Hard,Are there any fees specific to Chicago-Kent students beyond tuition?,Chicago-Kent graduate students have additional fees.,I am not sure. The provided context does not mention any specific fees beyond tuition for Chicago-Kent students.
Financial Aid,Easy,Do undergraduate students need to be full-time to receive financial aid?,"Not required for all aid types, but most aid is reduced or eliminated below full-time (12 credits).",I am not sure.
Financial Aid,Easy,Where can I find financial aid policies?,Contact the Office of Financial Aid at 312.567.7219 or visit iit.edu/financial-aid.,I am not sure.
Financial Aid,Normal,What happens to my financial aid if I drop below full-time status?,"Aid is reduced or eliminated — federal loans, SEOG, and work-study are zeroed out; Pell Grant recalculated proportionally.",I am not sure.
Financial Aid,Normal,Does withdrawing from a course affect financial aid eligibility?,"Yes, withdrawing reduces enrolled credits which lowers or eliminates certain aid types and may trigger return of Title IV funds.",I am not sure.
Financial Aid,Normal,Can dropping a course require repayment of financial aid?,"Yes, dropping below an aid threshold may require repayment of federal Title IV aid.",I am not sure.
Financial Aid,Hard,I receive financial aid and I'm thinking of dropping below full-time status mid-semester — what happens to my aid and is there any tuition refund?,Aid may reduce; refund depends on deadline.,I'm not sure.
Financial Aid,Hard,"If I withdraw from all courses mid-semester, how does it affect my financial aid?",Aid may need repayment; refund depends on timing.,I'm not sure. The provided context does not mention the specific policies regarding withdrawing from courses mid-semester and its effect on financial aid.
Financial Aid,Hard,"If I drop from full-time to part-time, will my grants or loans change?",Grants may drop; loans may adjust.,"According to the context, if you drop from full-time to part-time, your grants and loans may change. 

For undergraduate students enrolled in 9-11 hours, the Federal Pell Grant is adjusted, Federal SEOG is reduced to $500, and Federal Student Loans are prorated. 

For undergraduate students enrolled in 6-8 hours, the Federal Pell Grant is adjusted, Federal SEOG is reduced to $500, and Federal Student Loans are prorated. 

IL MAP Grant is also reduced for both scenarios."
Transfer Credit,Easy,Can graduate students transfer credits into a master's program?,"Yes, with approval.","Yes, graduate students can transfer credits into a master's program, but the maximum number of applicable credit hours is nine, and the credit hours must have been passed with grades of 'B' or better."
Transfer Credit,Easy,Do transfer credits count toward degree requirements?,"Yes for credits, not GPA.","Yes, transfer credits can count toward degree requirements, subject to the approval of the academic unit and the Office of Academic Affairs, and meeting the specified grade requirements (grades of 'B' or better)."
Transfer Credit,Easy,Who approves transfer credits?,Department + Registrar.,The academic unit and the Office of Academic Affairs approve transfer credits.
Transfer Credit,Normal,What is the maximum number of transfer credits allowed for a master's program?,Up to ~9 credits.,A maximum of nine applicable credit hours.
Transfer Credit,Normal,Do transfer credits affect GPA calculations?,No GPA impact.,"Yes, grades for transferred credits do not affect the student's GPA, but a non-attendance (""NA"") grade is equivalent to a failing grade of ""E"" for GPA calculations."
Transfer Credit,Normal,When should transfer credits be submitted?,Early in program.,Transfer credits should be submitted as part of the application for admission to the Office of Undergraduate Admission.
Transfer Credit,Hard,"I transferred 6 credits into a master's program — how many more transfer credits can I bring in, and could this affect my graduation date?",3 more credits; may graduate sooner.,"You have already transferred 6 credits into a master's program. The maximum allowed transfer credits for a master's degree program is 9 credit hours. 

You can bring in 3 more transfer credits (9 - 6 = 3). 

This may affect your graduation date, as you will need to complete the remaining coursework and fulfill the program requirements within the allowed timeframe."
Transfer Credit,Hard,"If I transfer the maximum allowed credits, could I graduate earlier?","Yes, if requirements allow.","Yes, if you transfer the maximum allowed credits, you could graduate earlier."
Transfer Credit,Hard,Can transfer credits from another graduate program be applied to my degree?,"Yes, if approved.","Yes, a maximum of nine graduate-level credit hours taken elsewhere and not applied toward any earned degree, subject to restrictions, may be transferred towards the graduate portion of the co-terminal degree program, subject to the advance approval of the academic unit."
Multi-topic,Easy,"If I take 9 credits as a graduate student, am I considered full-time?","Yes, full-time.","No, you are not considered full-time as a graduate student. The minimum registration required for full-time status for the fall or spring semester is 9 credit hours, but you are taking exactly 9 credit hours, which is the minimum."
Multi-topic,Easy,"If I take 12 credits as an undergraduate student, am I considered full-time?","Yes, full-time.","Yes, you are considered full-time."
Multi-topic,Easy,What happens if I drop a course before the add/drop deadline?,Removed; full refund.,A course dropped during the first two weeks of the semester will not appear on a student's transcript and tuition will be refunded.
Multi-topic,Normal,I'm a graduate student taking 8 credits — am I full-time and will it affect my tuition?,Not full-time; may affect aid.,"You are taking 8 credits. According to the context, full-time graduate students at Chicago-Kent pay $22,000 per semester. However, there is no information about the credit requirement for full-time status at Chicago-Kent."
Multi-topic,Normal,"If I drop a course after the add/drop deadline, will it appear on my transcript?",W grade; no refund.,"No, it will not appear on your transcript."
Multi-topic,Normal,"If I withdraw from a course, does it affect my GPA?",No GPA impact.,"No, withdrawing from a course does not affect your GPA."
Multi-topic,Hard,"I'm an F-1 grad student taking 9 credits in Spring 2026 — am I full-time, and what happens to my visa status if I drop one 3-credit course after the add/drop deadline?",Not full-time; visa risk without approval.,"You are an F-1 grad student taking 9 credits in Spring 2026. To be considered full-time, you need to take at least 9 credits. So, yes, you are full-time.

If you drop one 3-credit course after the add/drop deadline, your visa status may be affected. As an F-1 student, you are required to maintain a full course load. Dropping a course may lead to a loss of full-time status, which could potentially impact your visa status. However, I would recommend checking with the International Students Office at IIT for specific guidance on this situation."
Multi-topic,Hard,"I'm an undergraduate student with 12 credits — if I drop a 3-credit course after the add/drop deadline, am I still full-time and will I get a tuition refund?",Not full-time; no refund.,"No, you will not be full-time. Dropping a course after the add/drop deadline is considered withdrawing from the course. However, you will receive a grade of 'W' and it will not affect your grade-point average."
Multi-topic,Hard,"If I withdraw from all my classes in Spring 2026 after the 4th week, do I get any tuition refund and what grade appears on my transcript?",W grades; likely no refund.,"Based on the given context, I am not sure about the specific tuition refund policy. However, since you are withdrawing after the 4th week, I can tell you that you will not receive a W (Withdrawal) grade on your transcript. 

For Spring 2026, the last day to withdraw for full semester courses is 2026-03-30. Since you are withdrawing after this date, you will likely receive a grade based on your performance in the course."
