Category,Difficulty,Question,Retrieved Chunk IDs,Relevant Chunk IDs,# Relevant in Top 5,Total Relevant Chunks,Recall @ 5,Precision @ 5,HitRate @ 5
Contact,Normal,Who should I contact if my transcript request has an issue?,"74nWSp0B_ztt-jdzrxLT, 74nWSp0B_ztt-jdzsxRG, IInWSp0B_ztt-jdzrxPT, CInWSp0B_ztt-jdzrxPT, dInWSp0B_ztt-jdzqxEt","74nWSp0B_ztt-jdzrxLT, 74nWSp0B_ztt-jdzsxRG, KzmvVp0BJUUhSPYmDy5R",2,3,0.6667,0.4,1
Contact,Normal,Who should I contact about registration problems?,"HInWSp0B_ztt-jdzsxRF, 74nWSp0B_ztt-jdzrxLT, nonWSp0B_ztt-jdzqxEt, IInWSp0B_ztt-jdzrxPT, iInWSp0B_ztt-jdzrxPU","HInWSp0B_ztt-jdzsxRF, 74nWSp0B_ztt-jdzrxLT, -TmvVp0BJUUhSPYmDy1Q",2,3,0.6667,0.4,1
Contact,Normal,Who should I contact if I have a hold on my account?,"T4nWSp0B_ztt-jdzqxEt, wInWSp0B_ztt-jdzrxHR, 0onWSp0B_ztt-jdzsxRG, RonWSp0B_ztt-jdzqxEt, nonWSp0B_ztt-jdzqxEt",T4nWSp0B_ztt-jdzqxEt,1,1,1.0,0.2,1
Contact,Normal,I want to contact someone at the Wanger Institute. What is their number?,"gYnWSp0B_ztt-jdzsxVG, honWSp0B_ztt-jdzsxVG, VonWSp0B_ztt-jdzsxRF, 9YnWSp0B_ztt-jdzrxHS, QInWSp0B_ztt-jdzqxEt",gYnWSp0B_ztt-jdzsxVG,1,1,1.0,0.2,1
Contact,Normal,I want to take a semester off. What is the process?,"ZjmvVp0BJUUhSPYmDy1Q, ZDmvVp0BJUUhSPYmDy1Q, XDmvVp0BJUUhSPYmDy1P, ejmvVp0BJUUhSPYmDy1Q, ZzmvVp0BJUUhSPYmDy1Q","ZjmvVp0BJUUhSPYmDy1Q, ZDmvVp0BJUUhSPYmDy1Q, ejmvVp0BJUUhSPYmDy1Q, ZzmvVp0BJUUhSPYmDy1Q",4,4,1.0,0.8,1
Contact,Hard,"If my advisor approval is missing during registration, who should I contact?","nonWSp0B_ztt-jdzqxEt, nonWSp0B_ztt-jdzsxNF, PInWSp0B_ztt-jdzrxPT, UInWSp0B_ztt-jdzrxLS, A4nWSp0B_ztt-jdzrxLS","nonWSp0B_ztt-jdzqxEt, nonWSp0B_ztt-jdzsxNF, PInWSp0B_ztt-jdzrxPT",3,3,1.0,0.6,1
Policy,Easy,How many credits do graduate students need to be full-time?,"TTmvVp0BJUUhSPYmDy1P, sDmvVp0BJUUhSPYmEi5F, nDmvVp0BJUUhSPYmEi5F, rzmvVp0BJUUhSPYmEi5F, rjmvVp0BJUUhSPYmEi5F",TTmvVp0BJUUhSPYmDy1P,1,1,1.0,0.2,1
Policy,Easy,How many credits do undergraduate students need to be full-time?,"TTmvVp0BJUUhSPYmDy1P, nDmvVp0BJUUhSPYmEi5F, sDmvVp0BJUUhSPYmEi5F, rzmvVp0BJUUhSPYmEi5F, rjmvVp0BJUUhSPYmEi5F","TTmvVp0BJUUhSPYmDy1P, sDmvVp0BJUUhSPYmEi5F",2,2,1.0,0.4,1
Policy,Easy,What is the pass/fail policy at IIT?,"szmvVp0BJUUhSPYmEi5F, PTmvVp0BJUUhSPYmDy5R, iDmvVp0BJUUhSPYmEi5F, fzmvVp0BJUUhSPYmEi5F, ajmvVp0BJUUhSPYmDy1Q",szmvVp0BJUUhSPYmEi5F,1,1,1.0,0.2,1
Policy,Normal,I am a graduate student taking 8 credits this semester — am I full-time?,"TTmvVp0BJUUhSPYmDy1P, rzmvVp0BJUUhSPYmEi5F, sDmvVp0BJUUhSPYmEi5F, rjmvVp0BJUUhSPYmEi5F, VTmvVp0BJUUhSPYmDy1P","TTmvVp0BJUUhSPYmDy1P, sDmvVp0BJUUhSPYmEi5F, T3BtRp0BDGILqFZHmuVU, THBtRp0BDGILqFZHmuVU, gXBtRp0BDGILqFZHmuVU",2,5,0.4,0.4,1
Policy,Normal,What is the difference between withdrawing and dropping a course?,"lzmvVp0BJUUhSPYmEi5F, mTmvVp0BJUUhSPYmEi5F, mDmvVp0BJUUhSPYmEi5F, ljmvVp0BJUUhSPYmEi5F, YTmvVp0BJUUhSPYmEi5F","lzmvVp0BJUUhSPYmEi5F, mTmvVp0BJUUhSPYmEi5F, mDmvVp0BJUUhSPYmEi5F, YTmvVp0BJUUhSPYmEi5F",4,4,1.0,0.8,1
Policy,Normal,I failed a class and want to retake it. Will both grades show on my transcript?,"ajmvVp0BJUUhSPYmDy1Q, mTmvVp0BJUUhSPYmEi5F, lTmvVp0BJUUhSPYmEi5F, XDmvVp0BJUUhSPYmDy1P, YDmvVp0BJUUhSPYmEi5F","ajmvVp0BJUUhSPYmDy1Q, lTmvVp0BJUUhSPYmEi5F",2,2,1.0,0.4,1
Policy,Normal,I'm graduating but haven't registered for any courses this semester. Is that a problem?,"VjmvVp0BJUUhSPYmDy1P, XDmvVp0BJUUhSPYmDy1P, nzmvVp0BJUUhSPYmEi5F, UjmvVp0BJUUhSPYmDy1P, aDmvVp0BJUUhSPYmDy1Q","VjmvVp0BJUUhSPYmDy1P, XDmvVp0BJUUhSPYmDy1P",2,2,1.0,0.4,1
Policy,Normal,How many courses can I take pass/fail as an undergraduate?,"szmvVp0BJUUhSPYmEi5F, WjmvVp0BJUUhSPYmDy1P, YTmvVp0BJUUhSPYmDy1P, fzmvVp0BJUUhSPYmEi5F, 6TmvVp0BJUUhSPYmDy1Q",szmvVp0BJUUhSPYmEi5F,1,1,1.0,0.2,1
Policy,Hard,"What is the max pass/fail courses I can take as an undergrad, and if I take a required major course pass/fail, will it count toward my degree?","szmvVp0BJUUhSPYmEi5F, fzmvVp0BJUUhSPYmEi5F, WjmvVp0BJUUhSPYmDy1P, 6TmvVp0BJUUhSPYmDy1Q, eTmvVp0BJUUhSPYmDy1Q",szmvVp0BJUUhSPYmEi5F,1,1,1.0,0.2,1
Policy,Hard,"As a coterminal student, am I considered undergraduate or graduate for full-time status purposes, and how does tuition work?","SXBtRp0BDGILqFZHmuVT, SnBtRp0BDGILqFZHmuVU, enBtRp0BDGILqFZHmuVU, e3BtRp0BDGILqFZHmuVU, fHBtRp0BDGILqFZHmuVU",SXBtRp0BDGILqFZHmuVT,1,1,1.0,0.2,1
Policy,Hard,"I'm a grad student who got a C in a required course — can I repeat it, will the old grade be replaced, and how does it affect my GPA?","ajmvVp0BJUUhSPYmDy1Q, lTmvVp0BJUUhSPYmEi5F, lDmvVp0BJUUhSPYmEi5F, 6TmvVp0BJUUhSPYmDy1Q, WjmvVp0BJUUhSPYmEi5F",ajmvVp0BJUUhSPYmDy1Q,1,1,1.0,0.2,1
Policy,Hard,Can I work on a research project with a professor and keep the intellectual property?,"QjmvVp0BJUUhSPYmDy1P, PzmvVp0BJUUhSPYmDy1P, QDmvVp0BJUUhSPYmDy1P, QTmvVp0BJUUhSPYmDy1P, 3TmvVp0BJUUhSPYmDy1Q","QjmvVp0BJUUhSPYmDy1P, QDmvVp0BJUUhSPYmDy1P",2,2,1.0,0.4,1
Registration,Easy,How do I request a late registration?,"sjmvVp0BJUUhSPYmEi5F, 9jmvVp0BJUUhSPYmDy1Q, kDmvVp0BJUUhSPYmEi5F, -TmvVp0BJUUhSPYmDy1Q, YjmvVp0BJUUhSPYmEi5F","sjmvVp0BJUUhSPYmEi5F, kDmvVp0BJUUhSPYmEi5F",2,2,1.0,0.4,1
Registration,Easy,How do I add a course during the add/drop period?,"YDmvVp0BJUUhSPYmEi5F, XDmvVp0BJUUhSPYmDy1P, ljmvVp0BJUUhSPYmEi5F, sjmvVp0BJUUhSPYmEi5F, 2DmvVp0BJUUhSPYmDy1Q","YDmvVp0BJUUhSPYmEi5F, XDmvVp0BJUUhSPYmDy1P",2,2,1.0,0.4,1
Registration,Normal,When does registration open for Fall 2026?,"-6HgWp0B2_Gg63tSg_If, OqHgWp0B2_Gg63tSg_Mf, LKHgWp0B2_Gg63tSg_Mf, OKHgWp0B2_Gg63tSg_Mf, 4KHgWp0B2_Gg63tSg_Ie",-6HgWp0B2_Gg63tSg_If,1,1,1.0,0.2,1
Registration,Normal,Who do I contact if I have a registration issue?,"HInWSp0B_ztt-jdzsxRF, 74nWSp0B_ztt-jdzrxLT, PYnWSp0B_ztt-jdzsxVG, iInWSp0B_ztt-jdzrxPU, nonWSp0B_ztt-jdzqxEt","HInWSp0B_ztt-jdzsxRF, 74nWSp0B_ztt-jdzrxLT, -TmvVp0BJUUhSPYmDy1Q",2,3,0.6667,0.4,1
Registration,Normal,What happens if I try to register after the add/drop deadline?,"sjmvVp0BJUUhSPYmEi5F, YDmvVp0BJUUhSPYmEi5F, XTmvVp0BJUUhSPYmEi5F, XDmvVp0BJUUhSPYmDy1P, ljmvVp0BJUUhSPYmEi5F","sjmvVp0BJUUhSPYmEi5F, XDmvVp0BJUUhSPYmDy1P",2,2,1.0,0.4,1
Registration,Hard,I have a hold on my account and registration opens tomorrow — what types of holds exist and how do I find out what mine is?,"aDmvVp0BJUUhSPYmDy1Q, IzmvVp0BJUUhSPYmDy5Q, DjmvVp0BJUUhSPYmDy5Q, AjmvVp0BJUUhSPYmDy5Q, JjmvVp0BJUUhSPYmDy5R","aDmvVp0BJUUhSPYmDy1Q, IzmvVp0BJUUhSPYmDy5Q, DjmvVp0BJUUhSPYmDy5Q, AjmvVp0BJUUhSPYmDy5Q, JjmvVp0BJUUhSPYmDy5R",5,5,1.0,1.0,1
Registration,Hard,"If registration opens tomorrow but I have a financial hold, can I still register?","aDmvVp0BJUUhSPYmDy1Q, kDmvVp0BJUUhSPYmEi5F, HjmvVp0BJUUhSPYmDy5Q, JDmvVp0BJUUhSPYmDy5R, JjmvVp0BJUUhSPYmDy5R",aDmvVp0BJUUhSPYmDy1Q,1,1,1.0,0.2,1
Registration,Hard,"If I miss the add/drop deadline, can I still add a class?","XDmvVp0BJUUhSPYmDy1P, ljmvVp0BJUUhSPYmEi5F, YDmvVp0BJUUhSPYmEi5F, XDmvVp0BJUUhSPYmEi5F, sjmvVp0BJUUhSPYmEi5F","XDmvVp0BJUUhSPYmDy1P, YDmvVp0BJUUhSPYmEi5F",2,2,1.0,0.4,1
Transcripts,Easy,How do I get an official transcript from IIT?,"ZTmvVp0BJUUhSPYmEi5F, KzmvVp0BJUUhSPYmDy5R, KTmvVp0BJUUhSPYmDy5R, 5TmvVp0BJUUhSPYmDy1Q, KjmvVp0BJUUhSPYmDy5R","ZTmvVp0BJUUhSPYmEi5F, KzmvVp0BJUUhSPYmDy5R, KTmvVp0BJUUhSPYmDy5R, KjmvVp0BJUUhSPYmDy5R",4,4,1.0,0.8,1
Transcripts,Easy,Can I order an official transcript online?,"KzmvVp0BJUUhSPYmDy5R, KTmvVp0BJUUhSPYmDy5R, KjmvVp0BJUUhSPYmDy5R, LDmvVp0BJUUhSPYmDy5R, ZTmvVp0BJUUhSPYmEi5F","KzmvVp0BJUUhSPYmDy5R, KTmvVp0BJUUhSPYmDy5R, KjmvVp0BJUUhSPYmDy5R",3,3,1.0,0.6,1
Transcripts,Easy,Is there a fee for ordering an official transcript?,"KjmvVp0BJUUhSPYmDy5R, KzmvVp0BJUUhSPYmDy5R, KTmvVp0BJUUhSPYmDy5R, ZTmvVp0BJUUhSPYmEi5F, MDmvVp0BJUUhSPYmDy5R",KjmvVp0BJUUhSPYmDy5R,1,1,1.0,0.2,1
Transcripts,Normal,How long does it take to process a transcript request?,"KzmvVp0BJUUhSPYmDy5R, KjmvVp0BJUUhSPYmDy5R, KTmvVp0BJUUhSPYmDy5R, XzmvVp0BJUUhSPYmEi5F, ajmvVp0BJUUhSPYmDy1Q",,0,0,0.0,0.0,0
Transcripts,Normal,Can alumni request transcripts through the same system?,"KTmvVp0BJUUhSPYmDy5R, KjmvVp0BJUUhSPYmDy5R, ajmvVp0BJUUhSPYmDy1Q, ZTmvVp0BJUUhSPYmEi5F, MDmvVp0BJUUhSPYmDy5R","KTmvVp0BJUUhSPYmDy5R, ZTmvVp0BJUUhSPYmEi5F",2,2,1.0,0.4,1
Transcripts,Normal,Can transcripts be sent electronically?,"KTmvVp0BJUUhSPYmDy5R, KjmvVp0BJUUhSPYmDy5R, LDmvVp0BJUUhSPYmDy5R, KzmvVp0BJUUhSPYmDy5R, 5TmvVp0BJUUhSPYmDy1Q","KTmvVp0BJUUhSPYmDy5R, KjmvVp0BJUUhSPYmDy5R, LDmvVp0BJUUhSPYmDy5R",3,3,1.0,0.6,1
Transcripts,Hard,"If I graduated last year and need a transcript for a job application, how do I request it?","KTmvVp0BJUUhSPYmDy5R, KjmvVp0BJUUhSPYmDy5R, KzmvVp0BJUUhSPYmDy5R, ajmvVp0BJUUhSPYmDy1Q, MDmvVp0BJUUhSPYmDy5R","KTmvVp0BJUUhSPYmDy5R, KjmvVp0BJUUhSPYmDy5R, KzmvVp0BJUUhSPYmDy5R",3,3,1.0,0.6,1
Transcripts,Hard,"If my transcript needs to be sent to multiple schools, how do I request that?","KzmvVp0BJUUhSPYmDy5R, KjmvVp0BJUUhSPYmDy5R, KTmvVp0BJUUhSPYmDy5R, 5TmvVp0BJUUhSPYmDy1Q, ZTmvVp0BJUUhSPYmEi5F","KzmvVp0BJUUhSPYmDy5R, KTmvVp0BJUUhSPYmDy5R",2,2,1.0,0.4,1
Transcripts,Hard,"If I need a transcript urgently, is there an expedited option?","KzmvVp0BJUUhSPYmDy5R, LDmvVp0BJUUhSPYmDy5R, KjmvVp0BJUUhSPYmDy5R, MDmvVp0BJUUhSPYmDy5R, ZTmvVp0BJUUhSPYmEi5F",,0,0,0.0,0.0,0
Tuition,Easy,What is the tuition per credit hour for graduate students on the Mies campus?,"fXBtRp0BDGILqFZHmuVU, e3BtRp0BDGILqFZHmuVU, enBtRp0BDGILqFZHmuVU, fHBtRp0BDGILqFZHmuVU, fnBtRp0BDGILqFZHmuVU","fXBtRp0BDGILqFZHmuVU, e3BtRp0BDGILqFZHmuVU, enBtRp0BDGILqFZHmuVU, fHBtRp0BDGILqFZHmuVU",4,4,1.0,0.8,1
Tuition,Easy,What is the tuition per credit hour for undergraduate students?,"kXBtRp0BDGILqFZHmuVV, k3BtRp0BDGILqFZHmuVV, l3BtRp0BDGILqFZHmuVV, knBtRp0BDGILqFZHmuVV, lHBtRp0BDGILqFZHmuVV","kXBtRp0BDGILqFZHmuVV, k3BtRp0BDGILqFZHmuVV, knBtRp0BDGILqFZHmuVV",3,3,1.0,0.6,1
Tuition,Easy,Where can I find current tuition rates?,,,0,0,0.0,0.0,0
Tuition,Normal,What happens to my tuition if I drop a class after the add/drop deadline?,"XDmvVp0BJUUhSPYmDy1P, ljmvVp0BJUUhSPYmEi5F, ZDmvVp0BJUUhSPYmEi5F, YDmvVp0BJUUhSPYmEi5F, XTmvVp0BJUUhSPYmEi5F",XDmvVp0BJUUhSPYmDy1P,1,1,1.0,0.2,1
Tuition,Normal,Do I get a refund if I drop a course before the add/drop deadline?,"XDmvVp0BJUUhSPYmDy1P, ljmvVp0BJUUhSPYmEi5F, YTmvVp0BJUUhSPYmEi5F, YDmvVp0BJUUhSPYmEi5F, XTmvVp0BJUUhSPYmEi5F","XDmvVp0BJUUhSPYmDy1P, ljmvVp0BJUUhSPYmEi5F",2,2,1.0,0.4,1
Tuition,Normal,How is tuition calculated for part-time students?,,,0,0,0.0,0.0,0
Tuition,Hard,"If I drop from 12 credits to 9 credits mid-semester, how does that affect my tuition?",,,0,0,0.0,0.0,0
Tuition,Hard,"If I withdraw from all classes after the fourth week, do I receive a tuition refund?","XDmvVp0BJUUhSPYmDy1P, YTmvVp0BJUUhSPYmEi5F, ZjmvVp0BJUUhSPYmEi5F, XDmvVp0BJUUhSPYmEi5F, ZzmvVp0BJUUhSPYmEi5F",XDmvVp0BJUUhSPYmDy1P,1,1,1.0,0.2,1
Tuition,Hard,"If I drop a course but remain full-time, does my tuition change?","YDmvVp0BJUUhSPYmEi5F, XDmvVp0BJUUhSPYmDy1P, lzmvVp0BJUUhSPYmEi5F, XTmvVp0BJUUhSPYmEi5F, ljmvVp0BJUUhSPYmEi5F","YDmvVp0BJUUhSPYmEi5F, XDmvVp0BJUUhSPYmDy1P, lzmvVp0BJUUhSPYmEi5F",3,3,1.0,0.6,1
Tuition,Hard,I'm starting the MDes program. What will I pay per semester?,"VnBtRp0BDGILqFZHmuVU, WHBtRp0BDGILqFZHmuVU, m3BtRp0BDGILqFZHmuVV, XnBtRp0BDGILqFZHmuVU, nHBtRp0BDGILqFZHmuVV","VnBtRp0BDGILqFZHmuVU, WHBtRp0BDGILqFZHmuVU, XnBtRp0BDGILqFZHmuVU",3,3,1.0,0.6,1
Tuition,Hard,Are there any fees specific to Chicago-Kent students beyond tuition?,"v4nWSp0B_ztt-jdzqxAs, wInWSp0B_ztt-jdzqxAs, N4nWSp0B_ztt-jdzsxRF, M4nWSp0B_ztt-jdzrxLS, zonWSp0B_ztt-jdzrxHR","v4nWSp0B_ztt-jdzqxAs, THBtRp0BDGILqFZHmuVU, UHBtRp0BDGILqFZHmuVU, VHBtRp0BDGILqFZHmuVU",1,4,0.25,0.2,1
Financial Aid,Easy,Do undergraduate students need to be full-time to receive financial aid?,"iYnWSp0B_ztt-jdzqxEt, 8InWSp0B_ztt-jdzsxRG, ZInWSp0B_ztt-jdzsxVG, JInWSp0B_ztt-jdzrxPT, tYnWSp0B_ztt-jdzrxHR","iYnWSp0B_ztt-jdzqxEt, VTmvVp0BJUUhSPYmDy1P, sDmvVp0BJUUhSPYmEi5F",1,3,0.3333,0.2,1
Financial Aid,Easy,Where can I find financial aid policies?,"iYnWSp0B_ztt-jdzqxEt, xYnWSp0B_ztt-jdzsxRG, 8InWSp0B_ztt-jdzsxRG, SonWSp0B_ztt-jdzsxVG, IYnWSp0B_ztt-jdzrxPT","iYnWSp0B_ztt-jdzqxEt, ZDmvVp0BJUUhSPYmEi5F, WDmvVp0BJUUhSPYmDy1P",1,3,0.3333,0.2,1
Financial Aid,Normal,What happens to my financial aid if I drop below full-time status?,"iYnWSp0B_ztt-jdzqxEt, 8InWSp0B_ztt-jdzsxRG, tYnWSp0B_ztt-jdzrxHR, JInWSp0B_ztt-jdzrxPT, SonWSp0B_ztt-jdzsxVG","iYnWSp0B_ztt-jdzqxEt, VTmvVp0BJUUhSPYmDy1P",1,2,0.5,0.2,1
Financial Aid,Normal,Does withdrawing from a course affect financial aid eligibility?,"iYnWSp0B_ztt-jdzqxEt, 8InWSp0B_ztt-jdzsxRG, SonWSp0B_ztt-jdzsxVG, JInWSp0B_ztt-jdzrxPT, tYnWSp0B_ztt-jdzrxHR","iYnWSp0B_ztt-jdzqxEt, lzmvVp0BJUUhSPYmEi5F, YTmvVp0BJUUhSPYmEi5F, mDmvVp0BJUUhSPYmEi5F",1,4,0.25,0.2,1
Financial Aid,Normal,Can dropping a course require repayment of financial aid?,"iYnWSp0B_ztt-jdzqxEt, 8InWSp0B_ztt-jdzsxRG, tYnWSp0B_ztt-jdzrxHR, SonWSp0B_ztt-jdzsxVG, JInWSp0B_ztt-jdzrxPT","lzmvVp0BJUUhSPYmEi5F, _jmvVp0BJUUhSPYmDy1Q, mDmvVp0BJUUhSPYmEi5F",0,3,0.0,0.0,0
Financial Aid,Hard,I receive financial aid and I'm thinking of dropping below full-time status mid-semester — what happens to my aid and is there any tuition refund?,"JInWSp0B_ztt-jdzrxPT, iYnWSp0B_ztt-jdzqxEt, 8InWSp0B_ztt-jdzsxRG, SonWSp0B_ztt-jdzsxVG, tYnWSp0B_ztt-jdzrxHR","JInWSp0B_ztt-jdzrxPT, VTmvVp0BJUUhSPYmDy1P, sDmvVp0BJUUhSPYmEi5F",1,3,0.3333,0.2,1
Financial Aid,Hard,"If I withdraw from all courses mid-semester, how does it affect my financial aid?","iYnWSp0B_ztt-jdzqxEt, 8InWSp0B_ztt-jdzsxRG, JInWSp0B_ztt-jdzrxPT, tYnWSp0B_ztt-jdzrxHR, SonWSp0B_ztt-jdzsxVG","iYnWSp0B_ztt-jdzqxEt, ejmvVp0BJUUhSPYmDy1Q",1,2,0.5,0.2,1
Financial Aid,Hard,"If I drop from full-time to part-time, will my grants or loans change?","VTmvVp0BJUUhSPYmDy1P, YDmvVp0BJUUhSPYmEi5F, sDmvVp0BJUUhSPYmEi5F, pTmvVp0BJUUhSPYmEi5F, pjmvVp0BJUUhSPYmEi5F","VTmvVp0BJUUhSPYmDy1P, pTmvVp0BJUUhSPYmEi5F, pjmvVp0BJUUhSPYmEi5F",3,3,1.0,0.6,1
Transfer Credit,Easy,Can graduate students transfer credits into a master's program?,"eDmvVp0BJUUhSPYmDy1Q, dzmvVp0BJUUhSPYmDy1Q, 5TmvVp0BJUUhSPYmDy1Q, 3zmvVp0BJUUhSPYmDy1Q, 7zmvVp0BJUUhSPYmDy1Q","eDmvVp0BJUUhSPYmDy1Q, dzmvVp0BJUUhSPYmDy1Q, 5TmvVp0BJUUhSPYmDy1Q",3,3,1.0,0.6,1
